epoch,train_loss,val_auroc,val_auprc
1,0.19577,0.7258,0.1254
2,0.16760,0.7422,0.1385
3,0.16440,0.7569,0.1489
4,0.16205,0.7582,0.1601
5,0.15924,0.7698,0.1635
6,0.15645,0.7791,0.1724
7,0.15320,0.7760,0.1748
8,0.14939,0.7750,0.1724
9,0.14484,0.7725,0.1719
10,0.13902,0.7699,0.1678
11,0.13089,0.7642,0.1610
12,0.12054,0.7559,0.1538
13,0.10815,0.7474,0.1508
14,0.09290,0.7307,0.1424
15,0.07614,0.7189,0.1370
16,0.05899,0.7114,0.1299
17,0.04318,0.7003,0.1253
18,0.03083,0.6927,0.1222
19,0.02290,0.6868,0.1200
20,0.01948,0.6848,0.1192
