epoch,train_loss,val_auroc,val_auprc
1,0.27324,0.5604,0.0744
2,0.17860,0.6102,0.0861
3,0.17552,0.6497,0.0942
4,0.17372,0.6731,0.0994
5,0.17251,0.6873,0.1036
6,0.17167,0.6988,0.1072
7,0.17117,0.7051,0.1095
8,0.17087,0.7100,0.1098
9,0.17049,0.7142,0.1124
10,0.17026,0.7180,0.1143
11,0.17006,0.7205,0.1148
12,0.16985,0.7221,0.1155
13,0.16971,0.7213,0.1159
14,0.16956,0.7227,0.1159
15,0.16940,0.7269,0.1176
16,0.16931,0.7285,0.1175
17,0.16913,0.7277,0.1185
18,0.16902,0.7295,0.1191
19,0.16899,0.7302,0.1200
20,0.16891,0.7304,0.1188
21,0.16875,0.7313,0.1200
22,0.16865,0.7311,0.1202
23,0.16859,0.7310,0.1202
24,0.16849,0.7313,0.1202
25,0.16845,0.7325,0.1207
26,0.16840,0.7341,0.1211
27,0.16827,0.7335,0.1209
28,0.16826,0.7336,0.1221
29,0.16813,0.7324,0.1214
30,0.16808,0.7342,0.1220
31,0.16803,0.7339,0.1224
32,0.16798,0.7336,0.1228
33,0.16790,0.7336,0.1223
34,0.16786,0.7351,0.1228
35,0.16782,0.7340,0.1220
36,0.16782,0.7352,0.1226
37,0.16777,0.7347,0.1227
38,0.16770,0.7355,0.1230
39,0.16767,0.7354,0.1232
40,0.16766,0.7353,0.1232
41,0.16759,0.7354,0.1230
42,0.16759,0.7354,0.1230
43,0.16757,0.7352,0.1230
44,0.16755,0.7353,0.1230
45,0.16752,0.7354,0.1230
46,0.16752,0.7354,0.1230
47,0.16750,0.7353,0.1231
48,0.16750,0.7354,0.1230
49,0.16749,0.7354,0.1231
50,0.16748,0.7354,0.1230
