epoch,train_loss,val_auroc,val_auprc
1,0.30473,0.5492,0.0675
2,0.18059,0.5986,0.0756
3,0.17819,0.6234,0.0808
4,0.17724,0.6408,0.0845
5,0.17655,0.6523,0.0877
6,0.17601,0.6611,0.0895
7,0.17556,0.6666,0.0922
8,0.17523,0.6687,0.0926
9,0.17496,0.6715,0.0929
10,0.17471,0.6752,0.0951
11,0.17453,0.6763,0.0959
12,0.17432,0.6786,0.0954
13,0.17420,0.6808,0.0975
14,0.17397,0.6795,0.0972
15,0.17393,0.6840,0.0981
16,0.17384,0.6843,0.0993
17,0.17365,0.6844,0.0982
18,0.17361,0.6869,0.0982
19,0.17350,0.6863,0.0997
20,0.17341,0.6888,0.0997
21,0.17325,0.6885,0.1002
22,0.17321,0.6894,0.1002
23,0.17308,0.6915,0.1003
24,0.17305,0.6895,0.1012
25,0.17298,0.6902,0.1005
26,0.17294,0.6917,0.1007
27,0.17286,0.6919,0.1010
28,0.17278,0.6914,0.1010
29,0.17276,0.6926,0.1013
30,0.17270,0.6919,0.1018
31,0.17263,0.6928,0.1021
32,0.17260,0.6929,0.1014
33,0.17255,0.6928,0.1016
34,0.17255,0.6937,0.1018
35,0.17248,0.6938,0.1018
36,0.17248,0.6942,0.1018
37,0.17241,0.6936,0.1020
38,0.17232,0.6935,0.1021
39,0.17231,0.6940,0.1019
40,0.17229,0.6944,0.1023
41,0.17227,0.6942,0.1023
42,0.17226,0.6945,0.1022
43,0.17224,0.6946,0.1022
44,0.17223,0.6947,0.1022
45,0.17222,0.6949,0.1022
46,0.17218,0.6947,0.1023
47,0.17219,0.6947,0.1022
48,0.17217,0.6947,0.1022
49,0.17216,0.6948,0.1023
50,0.17216,0.6947,0.1022
